Indicator,Date,Measure,Area,Characteristic,Breakdown,Value,LCI,UCI,
Deaths with an underlying cause of diabetes by type,2008,Count,Wales,Persons,Unspecified,237,[x],[x],
Deaths with an underlying cause of diabetes by type,2009,Count,Wales,Persons,Unspecified,218,[x],[x],
Deaths with an underlying cause of diabetes by type,2010,Count,Wales,Persons,Unspecified,206,[x],[x],
Deaths with an underlying cause of diabetes by type,2011,Count,Wales,Persons,Unspecified,193,[x],[x],
Deaths with an underlying cause of diabetes by type,2012,Count,Wales,Persons,Unspecified,179,[x],[x],
Deaths with an underlying cause of diabetes by type,2013,Count,Wales,Persons,Unspecified,174,[x],[x],
Deaths with an underlying cause of diabetes by type,2014,Count,Wales,Persons,Unspecified,177,[x],[x],
Deaths with an underlying cause of diabetes by type,2015,Count,Wales,Persons,Unspecified,167,[x],[x],
Deaths with an underlying cause of diabetes by type,2016,Count,Wales,Persons,Unspecified,155,[x],[x],
Deaths with an underlying cause of diabetes by type,2017,Count,Wales,Persons,Unspecified,187,[x],[x],
Deaths with an underlying cause of diabetes by type,2018,Count,Wales,Persons,Unspecified,212,[x],[x],
Deaths with an underlying cause of diabetes by type,2019,Count,Wales,Persons,Unspecified,170,[x],[x],
Deaths with an underlying cause of diabetes by type,2020,Count,Wales,Persons,Unspecified,181,[x],[x],
Deaths with an underlying cause of diabetes by type,2021,Count,Wales,Persons,Unspecified,148,[x],[x],
Deaths with an underlying cause of diabetes by type,2022,Count,Wales,Persons,Unspecified,138,[x],[x],
Deaths with an underlying cause of diabetes by type,2002,Count,Wales,Persons under 75,Type 1,20,[x],[x],
Deaths with an underlying cause of diabetes by type,2003,Count,Wales,Persons under 75,Type 1,16,[x],[x],
Deaths with an underlying cause of diabetes by type,2004,Count,Wales,Persons under 75,Type 1,8,[x],[x],
Deaths with an underlying cause of diabetes by type,2005,Count,Wales,Persons under 75,Type 1,5,[x],[x],
Deaths with an underlying cause of diabetes by type,2006,Count,Wales,Persons under 75,Type 1,4,[x],[x],
Deaths with an underlying cause of diabetes by type,2007,Count,Wales,Persons under 75,Type 1,8,[x],[x],
Deaths with an underlying cause of diabetes by type,2008,Count,Wales,Persons under 75,Type 1,9,[x],[x],
Deaths with an underlying cause of diabetes by type,2009,Count,Wales,Persons under 75,Type 1,7,[x],[x],
Deaths with an underlying cause of diabetes by type,2010,Count,Wales,Persons under 75,Type 1,11,[x],[x],
Deaths with an underlying cause of diabetes by type,2011,Count,Wales,Persons under 75,Type 1,10,[x],[x],
Deaths with an underlying cause of diabetes by type,2012,Count,Wales,Persons under 75,Type 1,11,[x],[x],
Deaths with an underlying cause of diabetes by type,2013,Count,Wales,Persons under 75,Type 1,13,[x],[x],
Deaths with an underlying cause of diabetes by type,2014,Count,Wales,Persons under 75,Type 1,11,[x],[x],
Deaths with an underlying cause of diabetes by type,2015,Count,Wales,Persons under 75,Type 1,17,[x],[x],
Deaths with an underlying cause of diabetes by type,2016,Count,Wales,Persons under 75,Type 1,16,[x],[x],
Deaths with an underlying cause of diabetes by type,2017,Count,Wales,Persons under 75,Type 1,10,[x],[x],
Deaths with an underlying cause of diabetes by type,2018,Count,Wales,Persons under 75,Type 1,15,[x],[x],
Deaths with an underlying cause of diabetes by type,2019,Count,Wales,Persons under 75,Type 1,13,[x],[x],
Deaths with an underlying cause of diabetes by type,2020,Count,Wales,Persons under 75,Type 1,17,[x],[x],
Deaths with an underlying cause of diabetes by type,2021,Count,Wales,Persons under 75,Type 1,25,[x],[x],
Deaths with an underlying cause of diabetes by type,2022,Count,Wales,Persons under 75,Type 1,29,[x],[x],
Deaths with an underlying cause of diabetes by type,2002,Count,Wales,Persons under 75,Type 2,15,[x],[x],
Deaths with an underlying cause of diabetes by type,2003,Count,Wales,Persons under 75,Type 2,18,[x],[x],
Deaths with an underlying cause of diabetes by type,2004,Count,Wales,Persons under 75,Type 2,30,[x],[x],
Deaths with an underlying cause of diabetes by type,2005,Count,Wales,Persons under 75,Type 2,16,[x],[x],
Deaths with an underlying cause of diabetes by type,2006,Count,Wales,Persons under 75,Type 2,12,[x],[x],
Deaths with an underlying cause of diabetes by type,2007,Count,Wales,Persons under 75,Type 2,22,[x],[x],
Deaths with an underlying cause of diabetes by type,2008,Count,Wales,Persons under 75,Type 2,35,[x],[x],
Deaths with an underlying cause of diabetes by type,2009,Count,Wales,Persons under 75,Type 2,21,[x],[x],
Deaths with an underlying cause of diabetes by type,2010,Count,Wales,Persons under 75,Type 2,19,[x],[x],
Deaths with an underlying cause of diabetes by type,2011,Count,Wales,Persons under 75,Type 2,24,[x],[x],
Deaths with an underlying cause of diabetes by type,2012,Count,Wales,Persons under 75,Type 2,15,[x],[x],
Deaths with an underlying cause of diabetes by type,2013,Count,Wales,Persons under 75,Type 2,18,[x],[x],
Deaths with an underlying cause of diabetes by type,2014,Count,Wales,Persons under 75,Type 2,28,[x],[x],
Deaths with an underlying cause of diabetes by type,2015,Count,Wales,Persons under 75,Type 2,29,[x],[x],
Deaths with an underlying cause of diabetes by type,2016,Count,Wales,Persons under 75,Type 2,28,[x],[x],
Deaths with an underlying cause of diabetes by type,2017,Count,Wales,Persons under 75,Type 2,27,[x],[x],
Deaths with an underlying cause of diabetes by type,2018,Count,Wales,Persons under 75,Type 2,42,[x],[x],
Deaths with an underlying cause of diabetes by type,2019,Count,Wales,Persons under 75,Type 2,52,[x],[x],
Deaths with an underlying cause of diabetes by type,2020,Count,Wales,Persons under 75,Type 2,57,[x],[x],
Deaths with an underlying cause of diabetes by type,2021,Count,Wales,Persons under 75,Type 2,60,[x],[x],
Deaths with an underlying cause of diabetes by type,2022,Count,Wales,Persons under 75,Type 2,70,[x],[x],
Deaths with an underlying cause of diabetes by type,2002,Count,Wales,Persons under 75,Unspecified,108,[x],[x],
Deaths with an underlying cause of diabetes by type,2003,Count,Wales,Persons under 75,Unspecified,112,[x],[x],
Deaths with an underlying cause of diabetes by type,2004,Count,Wales,Persons under 75,Unspecified,112,[x],[x],
Deaths with an underlying cause of diabetes by type,2005,Count,Wales,Persons under 75,Unspecified,88,[x],[x],
Deaths with an underlying cause of diabetes by type,2006,Count,Wales,Persons under 75,Unspecified,90,[x],[x],
Deaths with an underlying cause of diabetes by type,2007,Count,Wales,Persons under 75,Unspecified,70,[x],[x],
Deaths with an underlying cause of diabetes by type,2008,Count,Wales,Persons under 75,Unspecified,64,[x],[x],
Deaths with an underlying cause of diabetes by type,2009,Count,Wales,Persons under 75,Unspecified,73,[x],[x],
Deaths with an underlying cause of diabetes by type,2010,Count,Wales,Persons under 75,Unspecified,68,[x],[x],
Deaths with an underlying cause of diabetes by type,2011,Count,Wales,Persons under 75,Unspecified,70,[x],[x],
Deaths with an underlying cause of diabetes by type,2012,Count,Wales,Persons under 75,Unspecified,60,[x],[x],
Deaths with an underlying cause of diabetes by type,2013,Count,Wales,Persons under 75,Unspecified,60,[x],[x],
Deaths with an underlying cause of diabetes by type,2014,Count,Wales,Persons under 75,Unspecified,65,[x],[x],
Deaths with an underlying cause of diabetes by type,2015,Count,Wales,Persons under 75,Unspecified,51,[x],[x],
Deaths with an underlying cause of diabetes by type,2016,Count,Wales,Persons under 75,Unspecified,57,[x],[x],
Deaths with an underlying cause of diabetes by type,2017,Count,Wales,Persons under 75,Unspecified,69,[x],[x],
Deaths with an underlying cause of diabetes by type,2018,Count,Wales,Persons under 75,Unspecified,73,[x],[x],
Deaths with an underlying cause of diabetes by type,2019,Count,Wales,Persons under 75,Unspecified,59,[x],[x],
Deaths with an underlying cause of diabetes by type,2020,Count,Wales,Persons under 75,Unspecified,74,[x],[x],
Deaths with an underlying cause of diabetes by type,2021,Count,Wales,Persons under 75,Unspecified,55,[x],[x],
Deaths with an underlying cause of diabetes by type,2022,Count,Wales,Persons under 75,Unspecified,52,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2002,Count,Wales,Persons,Type 1,121,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2003,Count,Wales,Persons,Type 1,104,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2004,Count,Wales,Persons,Type 1,84,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2005,Count,Wales,Persons,Type 1,73,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2006,Count,Wales,Persons,Type 1,73,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2007,Count,Wales,Persons,Type 1,72,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2008,Count,Wales,Persons,Type 1,75,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2009,Count,Wales,Persons,Type 1,76,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2010,Count,Wales,Persons,Type 1,76,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2011,Count,Wales,Persons,Type 1,65,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2012,Count,Wales,Persons,Type 1,65,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2013,Count,Wales,Persons,Type 1,76,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2014,Count,Wales,Persons,Type 1,79,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2015,Count,Wales,Persons,Type 1,83,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2016,Count,Wales,Persons,Type 1,96,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2017,Count,Wales,Persons,Type 1,82,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2018,Count,Wales,Persons,Type 1,116,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2019,Count,Wales,Persons,Type 1,89,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2020,Count,Wales,Persons,Type 1,128,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2021,Count,Wales,Persons,Type 1,117,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2022,Count,Wales,Persons,Type 1,135,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2002,Count,Wales,Persons,Type 2,343,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2003,Count,Wales,Persons,Type 2,402,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2004,Count,Wales,Persons,Type 2,435,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2005,Count,Wales,Persons,Type 2,469,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2006,Count,Wales,Persons,Type 2,471,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2007,Count,Wales,Persons,Type 2,574,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2008,Count,Wales,Persons,Type 2,703,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2009,Count,Wales,Persons,Type 2,674,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2010,Count,Wales,Persons,Type 2,732,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2011,Count,Wales,Persons,Type 2,842,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2012,Count,Wales,Persons,Type 2,900,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2013,Count,Wales,Persons,Type 2,"1,050",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2014,Count,Wales,Persons,Type 2,"1,168",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2015,Count,Wales,Persons,Type 2,"1,256",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2016,Count,Wales,Persons,Type 2,"1,288",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2017,Count,Wales,Persons,Type 2,"1,369",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2018,Count,Wales,Persons,Type 2,"1,554",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2019,Count,Wales,Persons,Type 2,"1,729",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2020,Count,Wales,Persons,Type 2,"2,033",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2021,Count,Wales,Persons,Type 2,"2,132",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2022,Count,Wales,Persons,Type 2,"2,422",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2002,Count,Wales,Persons,Unspecified,"1,340",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2003,Count,Wales,Persons,Unspecified,"1,324",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2004,Count,Wales,Persons,Unspecified,"1,352",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2005,Count,Wales,Persons,Unspecified,"1,337",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2006,Count,Wales,Persons,Unspecified,"1,370",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2007,Count,Wales,Persons,Unspecified,"1,268",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2008,Count,Wales,Persons,Unspecified,"1,284",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2009,Count,Wales,Persons,Unspecified,"1,288",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2010,Count,Wales,Persons,Unspecified,"1,148",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2011,Count,Wales,Persons,Unspecified,"1,189",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2012,Count,Wales,Persons,Unspecified,"1,179",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2013,Count,Wales,Persons,Unspecified,"1,073",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2014,Count,Wales,Persons,Unspecified,"1,082",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2015,Count,Wales,Persons,Unspecified,"1,154",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2016,Count,Wales,Persons,Unspecified,"1,081",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2017,Count,Wales,Persons,Unspecified,"1,103",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2018,Count,Wales,Persons,Unspecified,"1,167",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2019,Count,Wales,Persons,Unspecified,"1,017",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2020,Count,Wales,Persons,Unspecified,"1,016",[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2021,Count,Wales,Persons,Unspecified,887,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2022,Count,Wales,Persons,Unspecified,818,[x],[x],
Deaths with any mention of diabetes (covid deaths),2002,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2003,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2004,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2005,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2006,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2007,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2008,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2009,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2010,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2011,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2012,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2013,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2014,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2015,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2016,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2017,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2018,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2019,Count,Wales,Persons,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2020,Count,Wales,Persons,Type 1,17,[x],[x],
Deaths with any mention of diabetes (covid deaths),2021,Count,Wales,Persons,Type 1,13,[x],[x],
Deaths with any mention of diabetes (covid deaths),2022,Count,Wales,Persons,Type 1,4,[x],[x],
Deaths with any mention of diabetes (covid deaths),2002,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2003,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2004,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2005,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2006,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2007,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2008,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2009,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2010,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2011,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2012,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2013,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2014,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2015,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2016,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2017,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2018,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2019,Count,Wales,Persons,Type 2,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2020,Count,Wales,Persons,Type 2,518,[x],[x],
Deaths with any mention of diabetes (covid deaths),2021,Count,Wales,Persons,Type 2,532,[x],[x],
Deaths with any mention of diabetes (covid deaths),2022,Count,Wales,Persons,Type 2,123,[x],[x],
Deaths with any mention of diabetes (covid deaths),2002,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2003,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2004,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2005,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2006,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2007,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2008,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2009,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2010,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2011,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2012,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2013,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2014,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2015,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2016,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2017,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2018,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2019,Count,Wales,Persons,Unspecified,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2020,Count,Wales,Persons,Unspecified,175,[x],[x],
Deaths with any mention of diabetes (covid deaths),2021,Count,Wales,Persons,Unspecified,119,[x],[x],
Deaths with any mention of diabetes (covid deaths),2022,Count,Wales,Persons,Unspecified,24,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2002,Count,Wales,Persons under 75,Type 1,68,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2003,Count,Wales,Persons under 75,Type 1,50,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2004,Count,Wales,Persons under 75,Type 1,44,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2005,Count,Wales,Persons under 75,Type 1,27,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2006,Count,Wales,Persons under 75,Type 1,33,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2007,Count,Wales,Persons under 75,Type 1,35,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2008,Count,Wales,Persons under 75,Type 1,38,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2009,Count,Wales,Persons under 75,Type 1,42,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2010,Count,Wales,Persons under 75,Type 1,43,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2011,Count,Wales,Persons under 75,Type 1,31,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2012,Count,Wales,Persons under 75,Type 1,27,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2013,Count,Wales,Persons under 75,Type 1,46,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2014,Count,Wales,Persons under 75,Type 1,32,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2015,Count,Wales,Persons under 75,Type 1,51,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2016,Count,Wales,Persons under 75,Type 1,53,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2017,Count,Wales,Persons under 75,Type 1,39,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2018,Count,Wales,Persons under 75,Type 1,59,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2019,Count,Wales,Persons under 75,Type 1,56,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2020,Count,Wales,Persons under 75,Type 1,78,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2021,Count,Wales,Persons under 75,Type 1,75,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2022,Count,Wales,Persons under 75,Type 1,82,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2002,Count,Wales,Persons under 75,Type 2,90,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2003,Count,Wales,Persons under 75,Type 2,115,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2004,Count,Wales,Persons under 75,Type 2,127,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2005,Count,Wales,Persons under 75,Type 2,131,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2006,Count,Wales,Persons under 75,Type 2,118,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2007,Count,Wales,Persons under 75,Type 2,169,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2008,Count,Wales,Persons under 75,Type 2,182,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2009,Count,Wales,Persons under 75,Type 2,164,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2010,Count,Wales,Persons under 75,Type 2,205,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2011,Count,Wales,Persons under 75,Type 2,213,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2012,Count,Wales,Persons under 75,Type 2,232,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2013,Count,Wales,Persons under 75,Type 2,250,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2014,Count,Wales,Persons under 75,Type 2,270,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2015,Count,Wales,Persons under 75,Type 2,319,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2016,Count,Wales,Persons under 75,Type 2,326,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2017,Count,Wales,Persons under 75,Type 2,338,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2018,Count,Wales,Persons under 75,Type 2,387,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2019,Count,Wales,Persons under 75,Type 2,428,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2020,Count,Wales,Persons under 75,Type 2,531,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2021,Count,Wales,Persons under 75,Type 2,542,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2022,Count,Wales,Persons under 75,Type 2,647,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2002,Count,Wales,Persons under 75,Unspecified,473,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2003,Count,Wales,Persons under 75,Unspecified,499,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2004,Count,Wales,Persons under 75,Unspecified,437,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2005,Count,Wales,Persons under 75,Unspecified,455,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2006,Count,Wales,Persons under 75,Unspecified,483,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2007,Count,Wales,Persons under 75,Unspecified,421,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2008,Count,Wales,Persons under 75,Unspecified,443,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2009,Count,Wales,Persons under 75,Unspecified,454,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2010,Count,Wales,Persons under 75,Unspecified,361,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2011,Count,Wales,Persons under 75,Unspecified,391,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2012,Count,Wales,Persons under 75,Unspecified,365,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2013,Count,Wales,Persons under 75,Unspecified,360,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2014,Count,Wales,Persons under 75,Unspecified,337,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2015,Count,Wales,Persons under 75,Unspecified,387,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2016,Count,Wales,Persons under 75,Unspecified,398,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2017,Count,Wales,Persons under 75,Unspecified,387,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2018,Count,Wales,Persons under 75,Unspecified,396,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2019,Count,Wales,Persons under 75,Unspecified,378,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2020,Count,Wales,Persons under 75,Unspecified,364,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2021,Count,Wales,Persons under 75,Unspecified,324,[x],[x],
Deaths with any mention of diabetes (non-covid deaths),2022,Count,Wales,Persons under 75,Unspecified,318,[x],[x],
Deaths with any mention of diabetes (covid deaths),2002,Count,Wales,Persons under 75,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2003,Count,Wales,Persons under 75,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2004,Count,Wales,Persons under 75,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2005,Count,Wales,Persons under 75,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2006,Count,Wales,Persons under 75,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2007,Count,Wales,Persons under 75,Type 1,0,[x],[x],
Deaths with any mention of diabetes (covid deaths),2008,Count,Wales,Persons under 75,Type 1,0,[x],[x],
